st_date,VL
2021-12-05,12400000000000.0
2021-12-05,321718549869.1318
2021-12-05,1400000000000.0
2021-12-05,4252519596.864502
2021-12-05,2200000000000.0
2021-12-05,664212309572.6571
2021-12-05,4800000000000.0
2021-12-05,4226535626535.627
2021-12-05,2330000000000.0
2021-12-05,4794579763404.01
2021-12-05,4044200542910.6514
2021-12-05,1997394438722.9663
2021-12-05,4340000000000.0
2021-12-05,12400000000000.0
2021-12-05,4800000000000.0
2021-12-05,4780000000000.0
2021-12-05,7250000000.0
2021-12-12,1720215408668.4617
2021-12-12,10800000000000.0
2021-12-12,10800000000000.0
2021-12-12,1210000000000.0
2021-12-12,3180000000000.0
2021-12-12,4087732692307.6924
2021-12-12,1860000000000.0
2021-12-12,573000000000.0
2021-12-12,7583774143310.8125
2021-12-12,1860000000000.0
2021-12-12,74454864398.28479
2021-12-12,1580000000000.0
2021-12-12,3948768197.088466
2021-12-12,495000000000.0
2021-12-12,634504386922.1703
2021-12-12,3280000000000.0
2021-12-12,3790859950859.951
2021-12-12,573000000000.0
2021-12-12,3564562421289.51
2021-12-12,3290501357276.6284
2021-12-12,2143697219361.4832
2021-12-12,4030000000000.0
2021-12-12,1860000000000.0
2021-12-12,3280000000000.0
2021-12-12,4330000000000.0
2021-12-12,824000000.0
2021-12-19,938299313819.1609
2021-12-19,55900000000000.0
2021-12-19,55900000000000.0
2021-12-19,2530000000000.0
2021-12-19,1770000000000.0
2021-12-19,3917607692307.6924
2021-12-19,19300000000000.0
2021-12-19,4970000000000.0
2021-12-19,29377747418709.438
2021-12-19,19300000000000.0
2021-12-19,434779640251.7124
2021-12-19,1740000000000.0
2021-12-19,520000000000.0
2021-12-19,1149744467239.9495
2021-12-19,5610000000000.0
2021-12-19,3096437346437.3467
2021-12-19,4970000000000.0
2021-12-19,5013773974441.026
2021-12-19,6285738463148.659
2021-12-19,5337818743563.337
2021-12-19,19300000000000.0
2021-12-19,5610000000000.0
2021-12-19,3410000000000.0
2021-12-19,123000000000.0
2021-12-26,21500000000000.0
2021-12-26,21500000000000.0
2021-12-26,5600000000000.0
2021-12-26,2250000000000.0
2021-12-26,5532056371058.803
2021-12-26,37400000000000.0
2021-12-26,11325990810993.555
2021-12-26,37400000000000.0
2021-12-26,318041766442.056
2021-12-26,332000000000.0
2021-12-26,364000000000.0
2021-12-26,778979326902.091
2021-12-26,0.0
2021-12-26,12155508939765.422
2021-12-26,11238088568486.096
2021-12-26,37400000000000.0
2021-12-26,62616465384615.39
2021-12-26,16500000000000.0
2021-12-26,1920000000000.0
2021-12-26,41000000000000.0
2021-12-26,16500000000000.0
2021-12-26,48615432417366.89
2021-12-26,41000000000000.0
2021-12-26,69100000000000.0
2022-01-02,12412918005732.65
2022-01-02,24700000000000.0
2022-01-02,24700000000000.0
2022-01-02,10200000000000.0
2022-01-02,1920000000000.0
2022-01-02,21400000000000.0
2022-01-02,60387391995920.92
2022-01-02,21400000000000.0
2022-01-02,204061480202.70645
2022-01-02,2080000000000.0
2022-01-02,97984322508.39867
2022-01-02,581000000000.0
2022-01-02,1754384128508.4468
2022-01-02,0.0
2022-01-02,77260416736256.33
2022-01-02,0.0
2022-01-02,100000000000000.0
2022-01-02,21400000000000.0
2022-01-02,17891392307692.31
2022-01-02,10900000000000.0
2022-01-02,221000000000.0
2022-01-02,36200000000000.0
2022-01-02,10900000000000.0
2022-01-02,29749918450771.105
2022-01-02,36200000000000.0
2022-01-02,12400000000000.0
2022-01-09,11631001910883.35
2022-01-09,54700000000000.0
2022-01-09,54700000000000.0
2022-01-09,9560000000000.0
2022-01-09,7150000000000.0
2022-01-09,18976676923076.92
2022-01-09,32700000000000.0
2022-01-09,7830000000000.0
2022-01-09,54852176154029.47
2022-01-09,32700000000000.0
2022-01-09,198546305062.09277
2022-01-09,3500000000000.0
2022-01-09,53989361702.12766
2022-01-09,1420000000000.0
2022-01-09,1717759221266.7512
2022-01-09,23900000000000.0
2022-01-09,15456511056511.059
2022-01-09,7830000000000.0
2022-01-09,22165524289282.984
2022-01-09,41419275109617.625
2022-01-09,12943658084449.021
2022-01-09,55100000000000.0
2022-01-09,32700000000000.0
2022-01-09,23900000000000.0
2022-01-09,17500000000000.0
2022-01-09,82700000000.0
2022-01-16,6538773343177.277
2022-01-16,13800000000000.0
2022-01-16,13800000000000.0
2022-01-16,5200000000000.0
2022-01-16,7170000000000.0
2022-01-16,20400000000000.0
2022-01-16,19810445982719.348
2022-01-16,20400000000000.0
2022-01-16,339183271147.7418
2022-01-16,1740000000000.0
2022-01-16,25965845464.725643
2022-01-16,1410000000000.0
2022-01-16,1145366187961.0635
2022-01-16,0.0
2022-01-16,19567200224468.39
2022-01-16,3697973223480.9478
2022-01-16,26500000000000.0
2022-01-16,20400000000000.0
2022-01-16,8923523076923.078
2022-01-16,327000000000.0
2022-01-16,770000000000.0
2022-01-16,327000000000.0
2022-01-16,3143737225674.588
2022-01-16,11600000000000.0
2022-01-23,571776144358.5511
2022-01-23,601000000000.0
2022-01-23,601000000000.0
2022-01-23,2040000000000.0
2022-01-23,2390000000000.0
2022-01-23,10500000000000.0
2022-01-23,10300000000000.0
2022-01-23,179000000000.0
2022-01-23,1188914383732.4658
2022-01-23,10300000000000.0
2022-01-23,54967912234.78309
2022-01-23,1810000000000.0
2022-01-23,1793113101.9036956
2022-01-23,542000000000.0
2022-01-23,1436766772884.0195
2022-01-23,10500000000000.0
2022-01-23,9162874692874.693
2022-01-23,179000000000.0
2022-01-23,10500000000000.0
2022-01-23,3433787681406.312
2022-01-23,360828218331.61694
2022-01-23,1830000000000.0
2022-01-23,10300000000000.0
2022-01-23,10500000000000.0
2022-01-23,10500000000000.0
2022-01-23,12500000000.0
2022-01-30,3078794623469.1216
2022-01-30,6060000000000.0
2022-01-30,6060000000000.0
2022-01-30,2360000000000.0
2022-01-30,980000000000.0
2022-01-30,5485430384615.385
2022-01-30,10100000000000.0
2022-01-30,1960000000000.0
2022-01-30,7462288273209.445
2022-01-30,10100000000000.0
2022-01-30,851175363368.0459
2022-01-30,568000000000.0
2022-01-30,8847984322.508398
2022-01-30,878000000000.0
2022-01-30,2065124623510.411
2022-01-30,4570000000000.0
2022-01-30,5072235872235.872
2022-01-30,1960000000000.0
2022-01-30,4892504077461.445
2022-01-30,6210661424617.146
2022-01-30,2175145211122.5542
2022-01-30,9030000000000.0
2022-01-30,10100000000000.0
2022-01-30,4570000000000.0
2022-01-30,5760000000000.0
2022-01-30,8610000000.0
2022-02-06,1770000000000.0
2022-02-06,1770000000000.0
2022-02-06,2320000000000.0
2022-02-06,158000000000.0
2022-02-06,2795350039086.2505
2022-02-06,3334554615384.6157
2022-02-06,1290000000000.0
2022-02-06,1050000000000.0
2022-02-06,2676859831627.2524
2022-02-06,1290000000000.0
2022-02-06,697669655287.6315
2022-02-06,327000000000.0
2022-02-06,3605823068.3090706
2022-02-06,685000000000.0
2022-02-06,1509801824610.415
2022-02-06,4550000000000.0
2022-02-06,2616339066339.0664
2022-02-06,1050000000000.0
2022-02-06,4121801308916.7373
2022-02-06,3698487466068.0845
2022-02-06,1335122966014.4182
2022-02-06,3680000000000.0
2022-02-06,1290000000000.0
2022-02-06,4550000000000.0
2022-02-06,2970000000000.0
2022-02-06,42800000000.0
2022-02-13,1280387605315.73
2022-02-13,2730000000000.0
2022-02-13,2730000000000.0
2022-02-13,524000000000.0
2022-02-13,804000000000.0
2022-02-13,762014000000.0
2022-02-13,2180000000000.0
2022-02-13,1510000000000.0
2022-02-13,2250000000.0
2022-02-13,2160991004971.3745
2022-02-13,2180000000000.0
2022-02-13,373193517848.1929
2022-02-13,204000000000.0
2022-02-13,1499160134.3784995
2022-02-13,364000000000.0
2022-02-13,359394054738.3125
2022-02-13,482000000000.0
2022-02-13,775012285012.285
2022-02-13,1510000000000.0
2022-02-13,580648306047.0302
2022-02-13,1788824524953.1802
2022-02-13,769833161688.9805
2022-02-13,1530000000000.0
2022-02-13,2180000000000.0
2022-02-13,482000000000.0
2022-02-13,846000000000.0
2022-02-20,23750701381.047512
2022-02-20,1230000000000.0
2022-02-20,1230000000000.0
