geo_value,time_value,geo_res,BOW_cases,count_of_cli_visits,count_of_diagnosed_COVID,coverage_adj_vl,hosp_fac_BOW_7d_avg,pct_of_diagnosed_COVID
Alexandria,2022-05-08,district,689.0,129.0,54.0,7864667455389.563,0.715725648059984,4.607508532423209
Alexandria,2022-05-15,district,809.0,110.0,55.0,12683669276703.33,1.3725091839267929,4.77845351867941
Alexandria,2022-05-22,district,701.0,109.0,59.0,14969872749672.1,1.0525377177352704,5.700483091787439
Alexandria,2022-05-29,district,596.0,129.0,63.0,7403942606621.754,1.2630452612823249,5.511811023622047
Alexandria,2022-06-05,district,590.0,136.0,53.0,17599671470106.164,1.1114798299284456,4.391052195526098
Alexandria,2022-06-12,district,523.0,120.0,54.0,17049867467184.566,1.43987159786185,4.918032786885246
Alexandria,2022-06-19,district,538.0,99.0,46.0,13748932688904.812,1.2125234508310316,4.372623574144487
Alexandria,2022-06-26,district,446.0,119.0,61.0,6836119233549.237,1.145161036895974,5.760151085930123
Alexandria,2022-07-03,district,521.0,106.0,54.0,15761316705278.787,1.1114798299284456,5.549845837615622
Alexandria,2022-07-10,district,561.0,119.0,67.0,8582119025049.821,1.3304076752173817,6.332703213610586
Alexandria,2022-07-17,district,554.0,106.0,53.0,12374516875421.67,1.3977700891524392,5.150631681243926
Alexandria,2022-07-24,district,554.0,122.0,73.0,7675474873695.009,1.2967264682498534,7.005758157389636
Alexandria,2022-07-31,district,403.0,91.0,47.0,12378266678590.137,1.4567122013456142,4.82051282051282
Alexandria,2022-08-07,district,390.0,88.0,38.0,8040692831790.167,1.4735528048293784,3.819095477386935
Alexandria,2022-08-14,district,319.0,74.0,29.0,11468587679616.145,1.2125234508310316,2.968270214943705
Alexandria,2022-08-21,district,266.0,98.0,48.0,3530691054517.3984,1.0862189247027991,4.336043360433603
Alexandria,2022-08-28,district,275.0,97.0,31.0,5250669384885.459,1.1030595281865634,2.943969610636277
Alexandria,2022-09-04,district,257.0,88.0,35.0,9689810237097.768,1.330407675217382,3.1503150315031503
Alexandria,2022-09-11,district,251.0,75.0,18.0,7935894931241.578,1.0693783212190346,2.0385050962627407
Alexandria,2022-09-18,district,191.0,101.0,28.0,3476618776385.04,0.8167692689625697,2.707930367504836
Alexandria,2022-09-25,district,180.0,112.0,26.0,3965201544192.848,0.8672910794138629,2.3049645390070923
Alexandria,2022-10-02,district,122.0,107.0,14.0,6111630179704.184,1.0609580194771526,1.5981735159817352
Alexandria,2022-10-09,district,110.0,122.0,27.0,6566368085950.214,0.8672910794138627,2.3519163763066206
Alexandria,2022-10-16,district,85.0,97.0,14.0,4360123746488.561,0.6736241393505731,1.5184381778741864
Alexandria,2022-10-23,district,156.0,122.0,26.0,8747909655035.133,0.8504504759300985,2.639593908629441
Alexandria,2022-10-30,district,137.0,172.0,38.0,11287776297940.275,1.145161036895974,2.985074626865672
Alexandria,2022-11-06,district,131.0,114.0,13.0,3796403256169.648,1.12832043341221,1.2974051896207583
Alexandria,2022-11-13,district,135.0,132.0,22.0,5489790119722.351,0.825189570704452,1.9298245614035088
Alexandria,2022-11-20,district,151.0,127.0,35.0,21730035619368.004,0.7073053463181017,3.167420814479638
Alexandria,2022-11-27,district,216.0,109.0,45.0,20178653621505.07,1.3556685804430282,4.213483146067416
Alexandria,2022-12-04,district,273.0,126.0,46.0,15009547935153.928,1.3893497874105567,4.351939451277199
Alexandria,2022-12-11,district,330.0,139.0,62.0,26374375264881.227,1.759843064053372,5.921680993314231
Alexandria,2022-12-18,district,324.0,135.0,56.0,30326157861972.71,1.5324949170225537,5.876180482686254
Alexandria,2022-12-25,district,253.0,149.0,85.0,33969580755845.16,2.6102935399834704,8.366141732283465
Alexandria,2023-01-01,district,290.0,136.0,75.0,11878648518068.012,2.4418875051458278,7.204610951008646
Alexandria,2023-01-08,district,292.0,132.0,59.0,35452090357410.43,2.18085815114748,5.272564789991064
Alexandria,2023-01-15,district,171.0,116.0,67.0,9480000000000.0,1.9282490988910157,6.417624521072797
Alexandria,2023-01-22,district,147.0,89.0,39.0,14200000000000.0,1.3977700891524392,3.831041257367387
Alexandria,2023-01-29,district,132.0,100.0,36.0,17100000000000.0,1.24620465779856,3.654822335025381
Alexandria,2023-02-05,district,88.0,90.0,28.0,7455000000000.0,1.3472482787011462,2.604651162790698
Alexandria,2023-02-12,district,93.0,93.0,17.0,2495000000000.0,0.93465349334892,1.6052880075542966
Alexandria,2023-02-19,district,74.0,84.0,13.0,2358500000000.0,0.8588707776719805,1.591187270501836
Alexandria,2023-02-26,district,70.0,81.0,7.0,2480000000000.0,0.875711381155745,0.85995085995086
Alexandria,2023-03-05,district,45.0,77.0,15.0,2051500000000.0,0.5810008201898693,1.4285714285714286
Alexandria,2023-03-12,district,40.0,67.0,6.0,3380000000000.0,0.5641602167061049,0.7471980074719801
Alexandria,2023-03-19,district,36.0,61.0,5.0,8190000000000.0,0.2441887505145827,2.512562814070352
Alexandria,2023-03-26,district,32.0,56.0,,3253000000000.0,0.3031308627077579,
Alexandria,2023-04-02,district,43.0,69.0,6.0,1795000000000.0,0.2526090522564649,0.7177033492822966
Alexandria,2023-04-09,district,31.0,64.0,6.0,2500000000000.0,0.2947105609658757,0.6593406593406593
Alexandria,2023-04-16,district,26.0,58.0,5.0,1870000000000.0,0.1768263365795254,0.5488474204171241
Alexandria,2023-04-23,district,34.0,50.0,,1800000000000.0,0.1094639226444681,
Alexandria,2023-04-30,district,27.0,45.0,,1399000000000.0,0.0926233191607038,
Alexandria,2023-05-07,district,21.0,54.0,,2685000000000.0,0.1852466383214076,
Alexandria,2023-05-14,district,11.0,60.0,,2595000000000.0,0.2610293539983471,
Alexandria,2023-05-21,district,27.0,63.0,8.0,551000000000.0,0.0926233191607038,0.8324661810613945
Alexandria,2023-05-28,district,25.0,73.0,8.0,441500000000.0,0.0926233191607038,0.881057268722467
Alexandria,2023-06-04,district,28.0,55.0,8.0,1590500000000.0,0.1431451296119967,0.8714596949891068
Alexandria,2023-06-11,district,24.0,62.0,11.0,1233500000000.0,0.2947105609658757,0.9830205540661304
Alexandria,2023-06-18,district,31.0,51.0,5.0,1186000000000.0,0.3704932766428152,2.415458937198068
Alexandria,2023-06-25,district,1.0,46.0,9.0,1231500000000.0,0.3873338801265795,1.021566401816118
Alexandria,2023-07-02,district,-3.0,46.0,5.0,1710000000000.0,0.3957541818684617,0.5649717514124294
Alexandria,2023-07-09,district,29.0,47.0,8.0,2685000000000.0,0.1768263365795254,0.857449088960343
Alexandria,2023-07-16,district,27.0,56.0,16.0,725500000000.0,0.1684060348376432,1.5748031496062993
Alexandria,2023-07-23,district,32.0,38.0,7.0,2410000000000.0,0.1768263365795254,4.166666666666666
Alexandria,2023-07-30,district,41.0,65.0,17.0,4560000000000.0,0.2526090522564649,1.60075329566855
Alexandria,2023-08-06,district,43.0,55.0,12.0,3510000000000.0,0.3873338801265795,1.5037593984962403
Alexandria,2023-08-13,district,62.0,57.0,27.0,4055000000000.0,0.3957541818684617,2.6732673267326734
Alexandria,2023-08-20,district,62.0,64.0,24.0,4845000000000.0,0.4378556905778725,2.25140712945591
Alexandria,2023-08-27,district,114.0,94.0,39.0,3600000000000.0,0.4462759923197547,3.5747021081576533
Alexandria,2023-09-03,district,112.0,107.0,51.0,2207000000000.0,0.7999286654788055,4.529307282415631
Alexandria,2023-09-10,district,88.0,93.0,33.0,1586500000000.0,0.7578271567693947,2.8472821397756687
Alexandria,2023-09-17,district,79.0,82.0,29.0,756000000000.0,0.8925519846395095,2.5869759143621764
Alexandria,2023-09-24,district,55.0,87.0,19.0,2275000000000.0,0.62310232889928,2.067464635473341
Alexandria,2023-10-01,district,49.0,86.0,9.0,1156000000000.0,0.7409865532856303,0.9793253536452664
Alexandria,2023-10-08,district,31.0,84.0,5.0,2816500000000.0,0.6231023288992802,0.5740528128587831
Alexandria,2023-10-15,district,47.0,92.0,14.0,1395000000000.0,0.9767550020583308,1.5435501653803747
Alexandria,2023-10-22,district,58.0,,,651000000000.0,,
Alleghany,2020-03-01,district,,145.0,0.0,,0.0,0.0
Alleghany,2020-03-08,district,,196.0,0.0,,0.0,0.0
Alleghany,2020-03-15,district,,184.0,0.0,,0.0,0.0
Alleghany,2020-03-22,district,,161.0,0.0,,0.0,0.0
Alleghany,2020-03-29,district,19.0,101.0,0.0,,0.0,0.0
Alleghany,2020-04-05,district,21.0,74.0,,,0.0,
Alleghany,2020-04-12,district,15.0,82.0,6.0,,0.0,0.8053691275167785
Alleghany,2020-04-19,district,23.0,79.0,0.0,,0.0,0.0
Alleghany,2020-04-26,district,37.0,75.0,8.0,,0.0,0.9029345372460496
Alleghany,2020-05-03,district,13.0,94.0,15.0,,0.0,1.6778523489932886
Alleghany,2020-05-10,district,28.0,56.0,0.0,,0.0,0.0
Alleghany,2020-05-17,district,13.0,52.0,0.0,,0.0,0.0
Alleghany,2020-05-24,district,26.0,51.0,6.0,,0.0,0.5741626794258373
Alleghany,2020-05-31,district,36.0,71.0,7.0,,0.0,0.6416131989000916
Alleghany,2020-06-07,district,27.0,57.0,0.0,,0.0,0.0
Alleghany,2020-06-14,district,56.0,62.0,0.0,,0.0,0.0
Alleghany,2020-06-21,district,51.0,110.0,16.0,,0.0,1.414677276746242
Alleghany,2020-06-28,district,173.0,98.0,22.0,,0.0,1.2948793407886992
Alleghany,2020-07-05,district,97.0,122.0,36.0,,0.0,1.8009004502251125
Alleghany,2020-07-12,district,64.0,129.0,34.0,,0.422327369100231,1.7391304347826086
Alleghany,2020-07-19,district,71.0,154.0,69.0,,0.3525455770145326,3.298279158699809
Alleghany,2020-07-26,district,82.0,120.0,36.0,,0.1764142124856123,1.851851851851852
Alleghany,2020-08-02,district,106.0,86.0,7.0,,0.5633051930550881,0.6060606060606061
Alleghany,2020-08-09,district,28.0,93.0,13.0,,0.4579455884602884,1.1092150170648465
Alleghany,2020-08-16,district,75.0,83.0,6.0,,0.6337536981815605,0.535236396074933
Alleghany,2020-08-23,district,90.0,65.0,5.0,,0.8801315335821733,0.4608294930875576
Alleghany,2020-08-30,district,99.0,82.0,16.0,,1.2673053621083412,1.4022787028922
Alleghany,2020-09-06,district,100.0,98.0,15.0,,1.3379559014895936,1.2853470437017995
Alleghany,2020-09-13,district,118.0,87.0,20.0,,1.2673053621083412,1.8066847335140015
Alleghany,2020-09-20,district,117.0,101.0,20.0,,1.0563235083875278,1.7406440382941688
Alleghany,2020-09-27,district,117.0,124.0,23.0,,1.795295387185542,1.95578231292517
Alleghany,2020-10-04,district,222.0,164.0,40.0,,1.5492408065925771,3.322259136212625
Alleghany,2020-10-11,district,281.0,133.0,39.0,,2.851053199659685,3.2939189189189184
Alleghany,2020-10-18,district,356.0,214.0,62.0,,4.188564625788763,5.236486486486487
Alleghany,2020-10-25,district,442.0,188.0,55.0,,3.2034775561213493,4.435483870967742
Alleghany,2020-11-01,district,465.0,193.0,63.0,,3.4498957983729186,4.972375690607735
Alleghany,2020-11-08,district,347.0,225.0,67.0,,4.118863647404977,5.381526104417671
Alleghany,2020-11-15,district,710.0,205.0,65.0,,4.611659725057159,5.793226381461675
Alleghany,2020-11-22,district,640.0,195.0,59.0,,5.280768998067562,5.086206896551724
Alleghany,2020-11-29,district,488.0,195.0,77.0,,6.1964783441588365,6.285714285714287
Alleghany,2020-12-06,district,948.0,217.0,98.0,,7.041941219378418,5.625717566016074
Alleghany,2020-12-13,district,678.0,266.0,121.0,,8.73074561014239,10.404127257093725
Alleghany,2020-12-20,district,743.0,261.0,118.0,,8.414747610059905,7.040572792362768
Alleghany,2020-12-27,district,667.0,370.0,156.0,,9.998131785952646,7.839195979899498
Alleghany,2021-01-03,district,850.0,401.0,174.0,,9.18919628423963,9.3048128342246
Alleghany,2021-01-10,district,1039.0,288.0,108.0,,9.681446869403905,6.196213425129088
Alleghany,2021-01-17,district,639.0,300.0,92.0,,7.956822225025094,7.082371054657427
Alleghany,2021-01-24,district,767.0,238.0,90.0,,7.7806302502197395,5.484460694698354
Alleghany,2021-01-31,district,526.0,198.0,56.0,,7.850472652581873,3.5420619860847564
Alleghany,2021-02-07,district,291.0,177.0,44.0,,6.794169347619823,3.6095159967186223
Alleghany,2021-02-14,district,388.0,150.0,40.0,,5.632890303147057,3.552397868561278
Alleghany,2021-02-21,district,232.0,123.0,24.0,,5.350874044960909,2.003338898163606
Alleghany,2021-02-28,district,225.0,147.0,27.0,,5.491548817533596,1.5854374633000587
Alleghany,2021-03-07,district,166.0,161.0,44.0,,4.787871903287991,2.371967654986523
Alleghany,2021-03-14,district,216.0,182.0,53.0,,5.561896305532679,2.9297954671088995
Alleghany,2021-03-21,district,195.0,199.0,67.0,,3.2035381663977844,3.4643226473629785
Alleghany,2021-03-28,district,138.0,186.0,47.0,,2.8515582852966355,2.6995979322228605
Alleghany,2021-04-04,district,165.0,170.0,26.0,,2.042683393860055,1.9047619047619049
Alleghany,2021-04-11,district,197.0,164.0,32.0,,2.535701709192494,1.5709376534118802
Alleghany,2021-04-18,district,168.0,204.0,43.0,,3.063045224654399,3.097982708933717
Alleghany,2021-04-25,district,107.0,186.0,39.0,,1.8666530464585247,2.07667731629393
Alleghany,2021-05-02,district,132.0,188.0,30.0,,2.640839076107036,1.45985401459854
Alleghany,2021-05-09,district,81.0,165.0,21.0,,1.6903600545257806,1.414141414141414
Alleghany,2021-05-16,district,66.0,173.0,20.0,,1.5494226374218791,1.4174344436569808
Alleghany,2021-05-23,district,50.0,185.0,31.0,,1.0922851859807108,1.4492753623188406
Alleghany,2021-05-30,district,56.0,139.0,10.0,,1.1973417391933407,0.7072135785007072
Alleghany,2021-06-06,district,76.0,151.0,6.0,,0.6342789872439887,0.4228329809725158
Alleghany,2021-06-13,district,47.0,139.0,0.0,,0.422953675290049,0.0
Alleghany,2021-06-20,district,47.0,157.0,14.0,,0.5637092615646482,0.89171974522293
Alleghany,2021-06-27,district,39.0,143.0,18.0,,0.7394163541585304,0.8249312557286893
Alleghany,2021-07-04,district,79.0,121.0,9.0,,0.5283536867358049,0.644237652111668
Alleghany,2021-07-11,district,95.0,138.0,27.0,,0.4580061987367224,1.205895489057615
Alleghany,2021-07-18,district,162.0,166.0,36.0,,1.408343796339632,1.5803336259877083
Alleghany,2021-07-25,district,206.0,211.0,53.0,,1.4788731151680163,2.3053501522401048
Alleghany,2021-08-01,district,272.0,246.0,64.0,,2.499457183642619,2.8368794326241136
Alleghany,2021-08-08,district,303.0,323.0,102.0,,4.752718362713927,4.458041958041958
Alleghany,2021-08-15,district,392.0,390.0,90.0,,4.084356616446209,3.8809831824062098
Alleghany,2021-08-22,district,447.0,478.0,109.0,,6.794775450384164,4.646206308610401
Alleghany,2021-08-29,district,508.0,616.0,171.0,,7.71056561017735,6.742902208201893
Alleghany,2021-09-05,district,598.0,731.0,204.0,,8.625668853504285,7.58364312267658
Alleghany,2021-09-12,district,675.0,746.0,214.0,,7.781660624919119,7.920059215396002
Alleghany,2021-09-19,district,860.0,656.0,206.0,,8.87271340194567,8.2864038616251
Alleghany,2021-09-26,district,637.0,593.0,175.0,,7.288399868480943,7.189811010682005
Alleghany,2021-10-03,district,631.0,569.0,171.0,,6.337981457176121,6.923076923076923
Alleghany,2021-10-10,district,562.0,494.0,160.0,,6.372448081283933,6.962576153176675
Alleghany,2021-10-17,district,397.0,365.0,102.0,,4.788356785499462,4.795486600846262
Alleghany,2021-10-24,district,391.0,360.0,94.0,,4.612003183290285,4.372093023255814
Alleghany,2021-10-31,district,273.0,333.0,86.0,,4.294893994806507,4.152583293095123
Alleghany,2021-11-07,district,280.0,367.0,83.0,,3.9078009799822513,3.672566371681416
Alleghany,2021-11-14,district,387.0,377.0,86.0,,4.5412516267816425,3.812056737588653
Alleghany,2021-11-21,district,376.0,403.0,113.0,,4.998490095350199,5.393794749403341
Alleghany,2021-11-28,district,583.0,529.0,176.0,,4.57684964271622,7.556891369686561
Alleghany,2021-12-05,district,677.0,568.0,179.0,,6.794573416129382,7.258718572587186
Alleghany,2021-12-12,district,648.0,591.0,206.0,,6.302039983008416,8.565488565488565
Alleghany,2021-12-19,district,652.0,591.0,188.0,,6.478090533835425,8.263736263736265
