location,date,lag,pcorr,pval
Blacksburg,2022-07-17 00:00:00,-2,0.8890320677335507,0.00010969242630716113
Blacksburg,2022-07-10 00:00:00,,0,
Blacksburg,2022-07-03 00:00:00,,0,
Blacksburg,2022-06-26 00:00:00,,0,
Blacksburg,2022-06-19 00:00:00,,0,
Blacksburg,2022-06-12 00:00:00,,0,
Blacksburg,2022-06-05 00:00:00,-2,0.6312091991912887,0.027722515474109116
Blacksburg,2022-05-29 00:00:00,-2,0.662070014379927,0.01900169341900264
Blacksburg,2022-05-22 00:00:00,-2,0.6806332780761211,0.014839634683206607
Blacksburg,2022-05-15 00:00:00,-2,0.7265126346038666,0.00744757597477887
Blacksburg,2022-05-08 00:00:00,-2,0.7276182334639878,0.0073132470160672276
Blacksburg,2022-05-01 00:00:00,-2,0.7390011857521542,0.006033478081273219
Blacksburg,2022-04-24 00:00:00,,0,
Blacksburg,2022-04-17 00:00:00,,0,
Blacksburg,2022-04-10 00:00:00,-2,0.7569384488313152,0.0043681418711142735
Blacksburg,2022-04-03 00:00:00,-2,0.7132808013739852,0.009202626917219769
Blacksburg,2022-03-27 00:00:00,,0,
Blacksburg,2022-03-20 00:00:00,,0,
Blacksburg,2022-03-13 00:00:00,,0,
Blacksburg,2022-03-06 00:00:00,,0,
Blacksburg,2022-02-27 00:00:00,,0,
Blacksburg,2022-02-20 00:00:00,,0,
Blacksburg,2022-02-13 00:00:00,,0,
Blacksburg,2022-02-06 00:00:00,,0,
Blacksburg,2022-01-30 00:00:00,,0,
Blacksburg,2022-01-23 00:00:00,,0,
Blacksburg,2022-01-16 00:00:00,-2,0.7395233666051106,0.0059791282926851385
Blacksburg,2022-01-09 00:00:00,-2,0.7440298433119816,0.005525258462955399
Blacksburg,2022-01-02 00:00:00,-2,0.8976216260616363,7.442339037841112e-05
Blacksburg,2021-12-26 00:00:00,-2,0.9341476969355426,8.72636246728894e-06
Blacksburg,2021-12-19 00:00:00,-2,0.8911246827501074,0.00010009602312967412
Blacksburg,2021-12-12 00:00:00,-2,0.7509649380708534,0.0048781356610387416
Blacksburg,2021-12-05 00:00:00,-2,0.6163848120666643,0.03280458023214923
Blacksburg,2021-11-28 00:00:00,,0,
Coeburn Norton Wise,2023-03-05 00:00:00,,0,
Coeburn Norton Wise,2023-02-26 00:00:00,,0,
Coeburn Norton Wise,2023-02-19 00:00:00,,0,
Coeburn Norton Wise,2023-02-12 00:00:00,,0,
Coeburn Norton Wise,2023-02-05 00:00:00,,0,
Coeburn Norton Wise,2023-01-29 00:00:00,,0,
Coeburn Norton Wise,2023-01-22 00:00:00,,0,
Coeburn Norton Wise,2023-01-15 00:00:00,,0,
Coeburn Norton Wise,2023-01-08 00:00:00,,0,
Coeburn Norton Wise,2023-01-01 00:00:00,,0,
Coeburn Norton Wise,2022-12-25 00:00:00,,0,
Coeburn Norton Wise,2022-12-18 00:00:00,,0,
Coeburn Norton Wise,2022-12-11 00:00:00,,0,
Coeburn Norton Wise,2022-12-04 00:00:00,,0,
Coeburn Norton Wise,2022-11-27 00:00:00,,0,
Coeburn Norton Wise,2022-11-20 00:00:00,,0,
Coeburn Norton Wise,2022-11-13 00:00:00,,0,
Coeburn Norton Wise,2022-11-06 00:00:00,,0,
Coeburn Norton Wise,2022-10-30 00:00:00,,0,
Coeburn Norton Wise,2022-10-23 00:00:00,,0,
Coeburn Norton Wise,2022-10-16 00:00:00,,0,
Coeburn Norton Wise,2022-10-09 00:00:00,,0,
Coeburn Norton Wise,2022-10-02 00:00:00,,0,
Coeburn Norton Wise,2022-09-25 00:00:00,,0,
Coeburn Norton Wise,2022-09-18 00:00:00,,0,
Coeburn Norton Wise,2022-09-11 00:00:00,,0,
Coeburn Norton Wise,2022-09-04 00:00:00,,0,
Coeburn Norton Wise,2022-08-28 00:00:00,,0,
Coeburn Norton Wise,2022-08-21 00:00:00,,0,
Coeburn Norton Wise,2022-08-14 00:00:00,,0,
Coeburn Norton Wise,2022-08-07 00:00:00,,0,
Coeburn Norton Wise,2022-07-31 00:00:00,,0,
Coeburn Norton Wise,2022-07-24 00:00:00,,0,
Coeburn Norton Wise,2022-07-17 00:00:00,,0,
Coeburn Norton Wise,2022-07-10 00:00:00,,0,
Coeburn Norton Wise,2022-07-03 00:00:00,,0,
Coeburn Norton Wise,2022-06-26 00:00:00,-2,0.610423062104485,0.03502532223235233
Coeburn Norton Wise,2022-06-19 00:00:00,,0,
Coeburn Norton Wise,2022-06-12 00:00:00,-2,0.6117851960054576,0.03450872834673185
Coeburn Norton Wise,2022-06-05 00:00:00,-2,0.6301270441073825,0.028072880240444287
Coeburn Norton Wise,2022-05-29 00:00:00,-2,0.6872881633891792,0.013525666881701833
Coeburn Norton Wise,2022-05-22 00:00:00,,0,
Coeburn Norton Wise,2022-05-15 00:00:00,,0,
Coeburn Norton Wise,2022-05-08 00:00:00,,0,
Coeburn Norton Wise,2022-05-01 00:00:00,,0,
Coeburn Norton Wise,2022-04-24 00:00:00,-2,0.6981530226655136,0.011567955798397317
Coeburn Norton Wise,2022-04-17 00:00:00,-2,0.8410496846278281,0.0006079900209983192
Coeburn Norton Wise,2022-04-10 00:00:00,,0,
Coeburn Norton Wise,2022-04-03 00:00:00,,0,
Coeburn Norton Wise,2022-03-27 00:00:00,,0,
Coeburn Norton Wise,2022-03-20 00:00:00,,0,
Coeburn Norton Wise,2022-03-13 00:00:00,,0,
Coeburn Norton Wise,2022-03-06 00:00:00,,0,
Coeburn Norton Wise,2022-02-27 00:00:00,,0,
Coeburn Norton Wise,2022-02-20 00:00:00,,0,
Coeburn Norton Wise,2022-02-13 00:00:00,,0,
Coeburn Norton Wise,2022-02-06 00:00:00,,0,
Coeburn Norton Wise,2022-01-30 00:00:00,,0,
Coeburn Norton Wise,2022-01-23 00:00:00,,0,
