sewershed,EW_stdate,lag,pcorr,pval,best_lag,best_corr,best_pval
Parkins Mill,2022-11-20,2,0.0,0.08181234808652157,0,0.0,0.004714320551196522
Parkins Mill,2022-11-13,-2,0.0,0.43573575611890625,,,
Parkins Mill,2022-11-13,-1,0.0,0.5193022970166132,,,
Parkins Mill,2022-11-13,0,0.0,0.09717377477992865,,,
Parkins Mill,2022-11-13,1,0.0,0.07250748303033816,,,
Parkins Mill,2022-11-13,2,0.0,0.34137229471421904,,,
Parkins Mill,2022-11-06,-2,0.0,0.15173503571673022,1,0.0,0.026096891052703127
Parkins Mill,2022-11-06,-1,0.0,0.2452650007307772,1,0.0,0.026096891052703127
Parkins Mill,2022-11-06,0,0.0,0.09515736659412469,1,0.0,0.026096891052703127
Parkins Mill,2022-11-06,1,0.0,0.026096891052703127,1,0.0,0.026096891052703127
Parkins Mill,2022-11-06,2,0.0,0.11210929146889191,1,0.0,0.026096891052703127
Parkins Mill,2022-10-30,-2,0.6153846153846154,0.03316990109010587,-2,0.6153846153846154,0.03316990109010587
Parkins Mill,2022-10-30,-1,0.0,0.15173503571673022,-2,0.6153846153846154,0.03316990109010587
Parkins Mill,2022-10-30,0,0.0,0.04152149441031855,-2,0.6153846153846154,0.03316990109010587
Parkins Mill,2022-10-30,1,0.0,0.008239768712338441,-2,0.6153846153846154,0.03316990109010587
Parkins Mill,2022-10-30,2,0.0,0.08486877113393493,-2,0.6153846153846154,0.03316990109010587
Parkins Mill,2022-10-23,-2,0.6713286713286714,0.016831456186893395,-2,0.6713286713286714,0.016831456186893395
Parkins Mill,2022-10-23,-1,0.0,0.08486877113393493,-2,0.6713286713286714,0.016831456186893395
Parkins Mill,2022-10-23,0,0.0,0.03316990109010587,-2,0.6713286713286714,0.016831456186893395
Parkins Mill,2022-10-23,1,0.0,0.010245193941127854,-2,0.6713286713286714,0.016831456186893395
Parkins Mill,2022-10-23,2,0.0,0.16975340732567462,-2,0.6713286713286714,0.016831456186893395
Parkins Mill,2022-10-16,-2,0.7412587412587414,0.005801150474478243,-2,0.7412587412587414,0.005801150474478243
